Gene_ID,Function
gene:Zm00001eb000010,Zm00001e000001
gene:Zm00001eb000020,Zm00001e000002
gene:Zm00001eb000030,Zm00001e000003
gene:Zm00001eb000040,Zm00001e000004
gene:Zm00001eb000050,Zm00001e100003
gene:Zm00001eb000060,Zm00001e000006
gene:Zm00001eb000070,Zm00001e100010
gene:Zm00001eb000080,Zm00001e000007
gene:Zm00001eb000090,Zm00001e000008
gene:Zm00001eb000100,Zm00001e000009
gene:Zm00001eb000110,Zm00001e000010
gene:Zm00001eb000120,Zm00001e000012
gene:Zm00001eb000130,Zm00001e000013
gene:Zm00001eb000140,Zm00001e100023
gene:Zm00001eb000150,Zm00001e000014
gene:Zm00001eb000160,Zm00001e000016
gene:Zm00001eb000170,Zm00001e000017
gene:Zm00001eb000180,Zm00001e000018
gene:Zm00001eb000200,Zm00001e100035
gene:Zm00001eb000190,Zm00001e000019
gene:Zm00001eb000210,Zm00001e000020
gene:Zm00001eb000220,Zm00001e000022
gene:Zm00001eb000230,Zm00001e000023
gene:Zm00001eb000240,Unknown
gene:Zm00001eb000250,Zm00001e100044
gene:Zm00001eb000260,Zm00001e000026
gene:Zm00001eb000270,Zm00001e100047
gene:Zm00001eb000280,Zm00001e100049
gene:Zm00001eb000290,Zm00001e100053
gene:Zm00001eb000300,Zm00001e100055
gene:Zm00001eb000310,Zm00001e100057
gene:Zm00001eb000320,Zm00001e000027
gene:Zm00001eb000330,Zm00001e000028
gene:Zm00001eb000340,Zm00001e000031
gene:Zm00001eb000350,Zm00001e000032
gene:Zm00001eb000360,Zm00001e000035
gene:Zm00001eb000370,Zm00001e000036
gene:Zm00001eb000380,Zm00001e000038
gene:Zm00001eb000390,Zm00001e000039
gene:Zm00001eb000400,Zm00001e000040
gene:Zm00001eb000410,Zm00001e000041
gene:Zm00001eb000420,Zm00001e000042
gene:Zm00001eb000430,Zm00001e000043
gene:Zm00001eb000440,Zm00001e100077
gene:Zm00001eb000450,Unknown
gene:Zm00001eb000460,Zm00001e000045
gene:Zm00001eb000470,Unknown
gene:Zm00001eb000480,Zm00001e000047
gene:Zm00001eb000490,Zm00001e000048
gene:Zm00001eb000500,Zm00001e000049
gene:Zm00001eb000510,Zm00001e000050
gene:Zm00001eb000520,Unknown
gene:Zm00001eb000530,Zm00001e100081
gene:Zm00001eb000540,Zm00001e000052
gene:Zm00001eb000550,Zm00001e000053
gene:Zm00001eb000560,Zm00001e100084
gene:Zm00001eb000570,Zm00001e000054
gene:Zm00001eb000580,Unknown
gene:Zm00001eb000590,Zm00001e000062
gene:Zm00001eb000600,Zm00001e000063
gene:Zm00001eb000610,Zm00001e000064
gene:Zm00001eb000620,Zm00001e000065
gene:Zm00001eb000630,Unknown
gene:Zm00001eb000640,Unknown
gene:Zm00001eb000650,Zm00001e000069
gene:Zm00001eb000660,Zm00001e000070
gene:Zm00001eb000670,Zm00001e000071
gene:Zm00001eb000680,Zm00001e000072
gene:Zm00001eb000690,Zm00001e000073
gene:Zm00001eb000700,Zm00001e000074
gene:Zm00001eb000710,Zm00001e000075
gene:Zm00001eb000720,Zm00001e000077
gene:Zm00001eb000730,Zm00001e000078
gene:Zm00001eb000740,Zm00001e000079
gene:Zm00001eb000750,Zm00001e100089
gene:Zm00001eb000760,Zm00001e000080
gene:Zm00001eb000770,Zm00001e000081
gene:Zm00001eb000780,Zm00001e000082
gene:Zm00001eb000790,Zm00001e000083
gene:Zm00001eb000800,Zm00001e000084
gene:Zm00001eb000810,Zm00001e100090
gene:Zm00001eb000820,Zm00001e000086
gene:Zm00001eb000830,Zm00001e000087
gene:Zm00001eb000840,Zm00001e000088
gene:Zm00001eb000850,Zm00001e000089
gene:Zm00001eb000860,Zm00001e000090
gene:Zm00001eb000870,Zm00001e000091
gene:Zm00001eb000880,Zm00001e000092
gene:Zm00001eb000890,Zm00001e000093
gene:Zm00001eb000900,Zm00001e000094
gene:Zm00001eb000910,Zm00001e000095
gene:Zm00001eb000920,Zm00001e000096
gene:Zm00001eb000930,Zm00001e000097
gene:Zm00001eb000940,Zm00001e000098
gene:Zm00001eb000950,Zm00001e100094
gene:Zm00001eb000960,Zm00001e000099
gene:Zm00001eb000970,Zm00001e000100
gene:Zm00001eb000980,Zm00001e000101
gene:Zm00001eb000990,Zm00001e000102
gene:Zm00001eb001000,Zm00001e000103
gene:Zm00001eb001010,Zm00001e000105
gene:Zm00001eb001020,Zm00001e000106
gene:Zm00001eb001030,Zm00001e100098
gene:Zm00001eb001040,Zm00001e000107
gene:Zm00001eb001050,Zm00001e000108
gene:Zm00001eb001060,Zm00001e000109
gene:Zm00001eb001070,Zm00001e000110
gene:Zm00001eb001080,Zm00001e000111
gene:Zm00001eb001090,Zm00001e000112
gene:Zm00001eb001100,Zm00001e000113
gene:Zm00001eb001110,Zm00001e000114
gene:Zm00001eb001120,Zm00001e000116
gene:Zm00001eb001130,Zm00001e000117
gene:Zm00001eb001140,Zm00001e000118
gene:Zm00001eb001150,Zm00001e000119
gene:Zm00001eb001160,Zm00001e000120
gene:Zm00001eb001170,Zm00001e000121
gene:Zm00001eb001180,Zm00001e000122
gene:Zm00001eb001190,Zm00001e000123
gene:Zm00001eb001200,Zm00001e000124
gene:Zm00001eb001210,Zm00001e000125
gene:Zm00001eb001220,Zm00001e000126
gene:Zm00001eb001230,Zm00001e000127
gene:Zm00001eb001240,Unknown
gene:Zm00001eb001250,Zm00001e100109
gene:Zm00001eb001260,Unknown
gene:Zm00001eb001270,Zm00001e000130
gene:Zm00001eb001280,Zm00001e000131
gene:Zm00001eb001290,Zm00001e000132
gene:Zm00001eb001300,Zm00001e100112
gene:Zm00001eb001310,Zm00001e000133
gene:Zm00001eb001320,Zm00001e000134
gene:Zm00001eb001330,Zm00001e100113
gene:Zm00001eb001340,Zm00001e000135
gene:Zm00001eb001350,Zm00001e000136
gene:Zm00001eb001360,Zm00001e000137
gene:Zm00001eb001370,Zm00001e000138
gene:Zm00001eb001380,Zm00001e000139
gene:Zm00001eb001390,Zm00001e000140
gene:Zm00001eb001400,Unknown
gene:Zm00001eb001410,Zm00001e100117
gene:Zm00001eb001420,Zm00001e100119
gene:Zm00001eb001430,Zm00001e000142
gene:Zm00001eb001440,Unknown
gene:Zm00001eb001450,Zm00001e100120
gene:Zm00001eb001460,Unknown
gene:Zm00001eb001470,Zm00001e000150
gene:Zm00001eb001480,Unknown
gene:Zm00001eb001490,Zm00001e000151
gene:Zm00001eb001500,Zm00001e000152
gene:Zm00001eb001510,Zm00001e000153
gene:Zm00001eb001520,Zm00001e100123
gene:Zm00001eb001530,Unknown
gene:Zm00001eb001540,Zm00001e000155
gene:Zm00001eb001550,Unknown
gene:Zm00001eb001560,Zm00001e000157
gene:Zm00001eb001570,Unknown
gene:Zm00001eb001580,Zm00001e100132
gene:Zm00001eb001590,Zm00001e000159
gene:Zm00001eb001600,Zm00001e000160
gene:Zm00001eb001610,Zm00001e100140
gene:Zm00001eb001620,Zm00001e100141
gene:Zm00001eb001630,Zm00001e000161
gene:Zm00001eb001640,Zm00001e000163
gene:Zm00001eb001650,Zm00001e000164
gene:Zm00001eb001660,Zm00001e100147
gene:Zm00001eb001670,Zm00001e000167
gene:Zm00001eb001680,Zm00001e000169
gene:Zm00001eb001690,Zm00001e000170
gene:Zm00001eb001700,Zm00001e000171
gene:Zm00001eb001710,Zm00001e000172
gene:Zm00001eb001720,Zm00001e000173
gene:Zm00001eb001730,Zm00001e000174
gene:Zm00001eb001740,Zm00001e100155
gene:Zm00001eb001750,Zm00001e100156
gene:Zm00001eb001760,Zm00001e000176
gene:Zm00001eb001770,Zm00001e000177
gene:Zm00001eb001780,Zm00001e000178
gene:Zm00001eb001790,Zm00001e100160
gene:Zm00001eb001800,Zm00001e000179
gene:Zm00001eb001810,Zm00001e000180
gene:Zm00001eb001820,Zm00001e000181
gene:Zm00001eb001830,Zm00001e100162
gene:Zm00001eb001840,Zm00001e000182
gene:Zm00001eb001850,Zm00001e000183
gene:Zm00001eb001860,Zm00001e000184
gene:Zm00001eb001870,Zm00001e000185
gene:Zm00001eb001880,Zm00001e000186
gene:Zm00001eb001890,Zm00001e000187
gene:Zm00001eb001900,Zm00001e000188
gene:Zm00001eb001910,Zm00001e000189
gene:Zm00001eb001920,Zm00001e000190
gene:Zm00001eb001930,Zm00001e000191
gene:Zm00001eb001940,Zm00001e000192
gene:Zm00001eb001950,Zm00001e000193
gene:Zm00001eb001960,Zm00001e000195
gene:Zm00001eb001970,Zm00001e000196
gene:Zm00001eb001980,Zm00001e000197
gene:Zm00001eb001990,Zm00001e000198
gene:Zm00001eb002000,Zm00001e000199
gene:Zm00001eb002010,Zm00001e000201
gene:Zm00001eb002020,Zm00001e000202
gene:Zm00001eb002030,Zm00001e000203
gene:Zm00001eb002040,Zm00001e000204
gene:Zm00001eb002050,Zm00001e000205
gene:Zm00001eb002060,Zm00001e000206
gene:Zm00001eb002070,Zm00001e000207
gene:Zm00001eb002080,Zm00001e000208
gene:Zm00001eb002090,Zm00001e000209
gene:Zm00001eb002100,Zm00001e000210
gene:Zm00001eb002110,Zm00001e000213
gene:Zm00001eb002120,Zm00001e000214
gene:Zm00001eb002130,Zm00001e000215
gene:Zm00001eb002140,Zm00001e100181
gene:Zm00001eb002150,Zm00001e100182
gene:Zm00001eb002160,Zm00001e000221
gene:Zm00001eb002170,Zm00001e000222
gene:Zm00001eb002180,Zm00001e000223
gene:Zm00001eb002190,Zm00001e000224
gene:Zm00001eb002200,Zm00001e000225
gene:Zm00001eb002210,Zm00001e000226
gene:Zm00001eb002220,Zm00001e000227
gene:Zm00001eb002230,Zm00001e000228
gene:Zm00001eb002240,Zm00001e000229
gene:Zm00001eb002250,Zm00001e000230
gene:Zm00001eb002260,Zm00001e000231
gene:Zm00001eb002270,Unknown
gene:Zm00001eb002280,Zm00001e000234
gene:Zm00001eb002290,Zm00001e000235
gene:Zm00001eb002300,Zm00001e000236
gene:Zm00001eb002310,Zm00001e000237
gene:Zm00001eb002320,Unknown
gene:Zm00001eb002330,Zm00001e000240
gene:Zm00001eb002340,Zm00001e100196
gene:Zm00001eb002350,Zm00001e000241
gene:Zm00001eb002360,Zm00001e100197
gene:Zm00001eb002370,Zm00001e100198
gene:Zm00001eb002380,Zm00001e000242
gene:Zm00001eb002390,Zm00001e100203
gene:Zm00001eb002400,Zm00001e000243
gene:Zm00001eb002410,Zm00001e100205
gene:Zm00001eb002420,Zm00001e000244
gene:Zm00001eb002430,Zm00001e000245
gene:Zm00001eb002440,Zm00001e000246
gene:Zm00001eb002450,Zm00001e000247
gene:Zm00001eb002460,Zm00001e000248
gene:Zm00001eb002470,Zm00001e000251
gene:Zm00001eb002480,Zm00001e000252
gene:Zm00001eb002490,Zm00001e000253
gene:Zm00001eb002500,Zm00001e000254
gene:Zm00001eb002510,Zm00001e000255
gene:Zm00001eb002520,Zm00001e000256
gene:Zm00001eb002530,Zm00001e000257
gene:Zm00001eb002540,Zm00001e000258
gene:Zm00001eb002550,Zm00001e000261
gene:Zm00001eb002560,Zm00001e000262
gene:Zm00001eb002570,Zm00001e000264
gene:Zm00001eb002580,Zm00001e000266
gene:Zm00001eb002590,Zm00001e000267
gene:Zm00001eb002600,Zm00001e000268.m1
gene:Zm00001eb002610,Unknown
gene:Zm00001eb002620,Zm00001e000271
gene:Zm00001eb002630,Zm00001e000272
gene:Zm00001eb002640,Zm00001e000273
gene:Zm00001eb002650,Zm00001e100224
gene:Zm00001eb002660,Zm00001e000274
gene:Zm00001eb002670,Zm00001e100228
gene:Zm00001eb002680,Zm00001e000276
gene:Zm00001eb002690,Unknown
gene:Zm00001eb002700,Unknown
gene:Zm00001eb002710,Zm00001e000279
gene:Zm00001eb002730,Zm00001e000280
gene:Zm00001eb002720,Zm00001e000281
gene:Zm00001eb002740,Zm00001e000284
gene:Zm00001eb002750,Zm00001e100230
gene:Zm00001eb002760,Zm00001e000285
gene:Zm00001eb002770,Zm00001e000286
gene:Zm00001eb002780,Zm00001e000287
gene:Zm00001eb002790,Unknown
gene:Zm00001eb002800,Unknown
gene:Zm00001eb002810,Zm00001e000290
gene:Zm00001eb002820,Zm00001e000291
gene:Zm00001eb002830,Zm00001e000292
gene:Zm00001eb002840,Zm00001e000293
gene:Zm00001eb002850,Zm00001e000294
gene:Zm00001eb002860,phosphate transporter protein10 [Source:NCBI gene (formerly Entrezgene)%3BAcc:100284835]
gene:Zm00001eb002870,Zm00001e000296
gene:Zm00001eb002880,Zm00001e100243
gene:Zm00001eb002890,Zm00001e000297
gene:Zm00001eb002900,Zm00001e000298
gene:Zm00001eb002910,Zm00001e000299
gene:Zm00001eb002920,Zm00001e000300
gene:Zm00001eb002930,Zm00001e000301
gene:Zm00001eb002940,Zm00001e000302
gene:Zm00001eb002950,Zm00001e000303
gene:Zm00001eb002960,Zm00001e000304
gene:Zm00001eb002970,Zm00001e100248
gene:Zm00001eb002980,Zm00001e100249
gene:Zm00001eb002990,Zm00001e000305
gene:Zm00001eb003000,Zm00001e000306
gene:Zm00001eb003010,Unknown
gene:Zm00001eb003020,Zm00001e000308
gene:Zm00001eb003030,Zm00001e000309
gene:Zm00001eb003040,Zm00001e000310
gene:Zm00001eb003050,Zm00001e000311
gene:Zm00001eb003060,Zm00001e100252
gene:Zm00001eb003070,Zm00001e000312
gene:Zm00001eb003080,Zm00001e000313
gene:Zm00001eb003090,Zm00001e000314
gene:Zm00001eb003100,Zm00001e000315
gene:Zm00001eb003110,Zm00001e000316
gene:Zm00001eb003120,Zm00001e000317
gene:Zm00001eb003130,Zm00001e000318
gene:Zm00001eb003140,Zm00001e000319
gene:Zm00001eb003150,Zm00001e000320
gene:Zm00001eb003160,Zm00001e100258
gene:Zm00001eb003170,Zm00001e000322
gene:Zm00001eb003180,Zm00001e000323
gene:Zm00001eb003190,Zm00001e000324
gene:Zm00001eb003200,Zm00001e000325
gene:Zm00001eb003210,Zm00001e000326
gene:Zm00001eb003220,Zm00001e000328
gene:Zm00001eb003230,Zm00001e000327
gene:Zm00001eb003240,Zm00001e000329
gene:Zm00001eb003250,Zm00001e000330
gene:Zm00001eb003260,Zm00001e000331
gene:Zm00001eb003270,Zm00001e100268
gene:Zm00001eb003280,Zm00001e100269
gene:Zm00001eb003290,Zm00001e100272
gene:Zm00001eb003300,Zm00001e100273
gene:Zm00001eb003310,Zm00001e000333
gene:Zm00001eb003320,Zm00001e000334
gene:Zm00001eb003330,Zm00001e000335
gene:Zm00001eb003340,Zm00001e000336
gene:Zm00001eb003350,Zm00001e000337
gene:Zm00001eb003360,Zm00001e000338
gene:Zm00001eb003370,Zm00001e100276
gene:Zm00001eb003380,Zm00001e100278
gene:Zm00001eb003390,Zm00001e100279
gene:Zm00001eb003400,Zm00001e000339
gene:Zm00001eb003410,Zm00001e000340
gene:Zm00001eb003420,Zm00001e000341
gene:Zm00001eb003430,Zm00001e000342
gene:Zm00001eb003440,Unknown
gene:Zm00001eb003450,Zm00001e000344
gene:Zm00001eb003460,Unknown
gene:Zm00001eb003470,Unknown
gene:Zm00001eb003480,Zm00001e000346
gene:Zm00001eb003490,Unknown
gene:Zm00001eb003500,Zm00001e000348
gene:Zm00001eb003510,Zm00001e000350
gene:Zm00001eb003520,Zm00001e000351
gene:Zm00001eb003530,Zm00001e100293
gene:Zm00001eb003540,Zm00001e000352
gene:Zm00001eb003550,Zm00001e000353
gene:Zm00001eb003560,Zm00001e000356
gene:Zm00001eb003570,Zm00001e000357
gene:Zm00001eb003580,Zm00001e000358
gene:Zm00001eb003590,Zm00001e100298
gene:Zm00001eb003600,Zm00001e000359
gene:Zm00001eb003610,Zm00001e000360
gene:Zm00001eb003620,Zm00001e000361
gene:Zm00001eb003630,Zm00001e000362
gene:Zm00001eb003640,Zm00001e000363
gene:Zm00001eb003650,Zm00001e000364
gene:Zm00001eb003660,Zm00001e000365
gene:Zm00001eb003670,Unknown
gene:Zm00001eb003680,Zm00001e000367
gene:Zm00001eb003690,Zm00001e000368
gene:Zm00001eb003700,Zm00001e000369
gene:Zm00001eb003710,Zm00001e000370
gene:Zm00001eb003720,Zm00001e000371
gene:Zm00001eb003730,Unknown
gene:Zm00001eb003740,Zm00001e000374
gene:Zm00001eb003750,Zm00001e000375
gene:Zm00001eb003760,Zm00001e000376
gene:Zm00001eb003770,Zm00001e100329
gene:Zm00001eb003780,Zm00001e000377
gene:Zm00001eb003790,Zm00001e100333
gene:Zm00001eb003800,Zm00001e100336.m1
gene:Zm00001eb003810,Zm00001e000378
gene:Zm00001eb003820,Zm00001e000380
gene:Zm00001eb003830,Unknown
gene:Zm00001eb003840,Zm00001e000382
gene:Zm00001eb003850,Zm00001e000383
gene:Zm00001eb003860,Zm00001e000385
gene:Zm00001eb003870,Zm00001e000386
gene:Zm00001eb003880,Zm00001e000387
gene:Zm00001eb003890,Zm00001e000388
gene:Zm00001eb003900,Zm00001e000389
gene:Zm00001eb003910,Unknown
gene:Zm00001eb003920,Unknown
gene:Zm00001eb003930,Zm00001e000392
gene:Zm00001eb003940,Zm00001e100345
gene:Zm00001eb003950,Zm00001e000393
gene:Zm00001eb003960,Zm00001e000394
gene:Zm00001eb003970,Unknown
gene:Zm00001eb003980,Zm00001e000396
gene:Zm00001eb003990,Zm00001e000397
gene:Zm00001eb004000,Unknown
gene:Zm00001eb004010,Zm00001e000399
gene:Zm00001eb004020,Unknown
gene:Zm00001eb004030,Zm00001e000401
gene:Zm00001eb004040,mediator complex subunit 11 [Source:UniProtKB Gene Name%3BAcc:A0A804LDR2]
gene:Zm00001eb004050,Unknown
gene:Zm00001eb004060,Unknown
gene:Zm00001eb004070,Zm00001e000407
gene:Zm00001eb004080,Zm00001e000408
gene:Zm00001eb004090,Unknown
gene:Zm00001eb004100,phosphate transporter protein9 [Source:NCBI gene (formerly Entrezgene)%3BAcc:100502494]
gene:Zm00001eb004110,phosphate transporter protein9 [Source:NCBI gene (formerly Entrezgene)%3BAcc:100502494]
gene:Zm00001eb004120,Zm00001e000411
gene:Zm00001eb004130,Zm00001e000412
gene:Zm00001eb004140,Zm00001e000413
gene:Zm00001eb004150,Zm00001e000414
gene:Zm00001eb004160,Zm00001e000415
gene:Zm00001eb004170,Zm00001e000416
gene:Zm00001eb004180,Zm00001e000417
gene:Zm00001eb004190,Unknown
gene:Zm00001eb004200,Zm00001e000420
gene:Zm00001eb004210,Zm00001e000421
gene:Zm00001eb004220,Zm00001e100364
gene:Zm00001eb004230,Zm00001e100366
gene:Zm00001eb004240,Zm00001e000423
gene:Zm00001eb004250,Zm00001e000424
gene:Zm00001eb004260,Unknown
gene:Zm00001eb004270,Zm00001e000430
gene:Zm00001eb004280,Zm00001e000431
gene:Zm00001eb004290,Zm00001e000432
gene:Zm00001eb004300,Zm00001e000435
gene:Zm00001eb004310,Zm00001e000436
gene:Zm00001eb004320,Cell number regulator 13 [Source:NCBI gene (formerly Entrezgene)%3BAcc:100192784]
gene:Zm00001eb004330,Zm00001e000438
gene:Zm00001eb004340,Zm00001e000439
gene:Zm00001eb004350,Zm00001e100372
gene:Zm00001eb004360,Zm00001e100375
gene:Zm00001eb004370,Zm00001e000440
gene:Zm00001eb004380,Zm00001e000441
gene:Zm00001eb004390,Zm00001e100376
gene:Zm00001eb004400,Zm00001e000442
gene:Zm00001eb004410,Zm00001e000443
gene:Zm00001eb004420,Zm00001e000444
gene:Zm00001eb004430,Zm00001e000445
gene:Zm00001eb004440,Zm00001e000446
gene:Zm00001eb004450,Zm00001e000447
gene:Zm00001eb004460,Zm00001e000448
gene:Zm00001eb004470,Zm00001e000449
gene:Zm00001eb004480,Unknown
gene:Zm00001eb004490,Zm00001e000451
gene:Zm00001eb004500,Zm00001e000453
gene:Zm00001eb004510,Zm00001e000454
gene:Zm00001eb004520,Zm00001e000455
gene:Zm00001eb004530,Zm00001e100379
gene:Zm00001eb004540,Unknown
gene:Zm00001eb004550,Zm00001e000457
gene:Zm00001eb004560,Zm00001e000458
gene:Zm00001eb004580,Zm00001e000459
gene:Zm00001eb004570,Zm00001e000460
gene:Zm00001eb004590,Zm00001e000461
gene:Zm00001eb004600,Zm00001e100385
gene:Zm00001eb004610,Zm00001e000462
gene:Zm00001eb004620,Zm00001e000463
gene:Zm00001eb004630,Zm00001e000464
gene:Zm00001eb004640,Zm00001e000465
gene:Zm00001eb004650,Unknown
gene:Zm00001eb004660,Zm00001e000466
gene:Zm00001eb004670,Zm00001e000467
gene:Zm00001eb004680,Zm00001e000468
gene:Zm00001eb004690,Zm00001e100389
gene:Zm00001eb004700,Zm00001e000469
gene:Zm00001eb004710,Zm00001e000471
gene:Zm00001eb004720,Zm00001e000472
gene:Zm00001eb004730,Unknown
gene:Zm00001eb004740,Zm00001e000473
gene:Zm00001eb004750,Zm00001e000474
gene:Zm00001eb004760,Zm00001e000475.m1
gene:Zm00001eb004770,Zm00001e000477
gene:Zm00001eb004780,Zm00001e000478
gene:Zm00001eb004790,Unknown
gene:Zm00001eb004800,Zm00001e100403
gene:Zm00001eb004810,Zm00001e100404
gene:Zm00001eb004820,Unknown
gene:Zm00001eb004830,Zm00001e100408
gene:Zm00001eb004840,Zm00001e100409
