Gene_ID,log2FoldChange,pvalue,adj_pvalue,Function
Zm00001d011000,2.2972607003976755,0.0012055339276939793,0.004263650143062962,Heat Shock Protein 70
Zm00001d010700,2.564849532497362,0.004397633386173403,0.006282333408819147,Osmotic Stress Regulator (DREB)
Zm00001d015400,1.7900163635680248,0.0031693249834625964,0.005299292506788036,Salt Tolerance Factor
Zm00001d056438,1.2323255067604577,0.0016265484632234392,0.004263650143062962,Cold Acclimation Gene (CBF)
Zm00001d024036,0.4446310859075353,0.0031795755040728213,0.005299292506788036,Jasmonic Acid Defense Signaling
Zm00001d043890,-1.3683442619541826,0.001705460057225185,0.004263650143062962,Photosynthesis Gene (Rubisco)
Zm00001d030125,1.42402628035123,0.00022599164119518246,0.0022599164119518245,ABA Response Element (AREB)
Zm00001d023847,0.7357486424339057,0.01691764139378087,0.021147051742226086,Iron Storage Protein
Zm00001d015410,-0.21083388407377054,0.10469823739244546,0.11633137488049496,General Transporter
Zm00001d050115,0.08985721918405794,0.2718619602928651,0.2718619602928651,Unknown Kinase
